ID_SARA,Alimento,ID_SARA_1,ENERC_KJ,ENERC_KCAL,WATER,PROTCNT,FAT,CHOCDF,ASH,Sodiomg,K,CA,P,FE,ZN,THIA,RIBF,NIA,VITC,origen_categoria,FASAT,FAMS,FAPU,FAPUN6,FAPUN3,CHOLE,WATER ,CHOAVLDF,FIBTG,ASH ,CHOCDF ,F14D0,F16D0,F18D0,F20D0,F16D1,F18D1,F20D1,F18D2,F18D3,F20D4,F20D4N6,F20D5,F22D6
271.0,Pata sin piel,,,,,,3.9,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
272.0,Pechuga sin piel,,,,,,1.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
273.0,Piel sola,,,,,,45.7,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
274.0,Bife angosto,,,,,,2.4,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
275.0,Bola de lomo,,,,,,2.6,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
279.0,Cuadrada,,,,,,1.1,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
276.0,Cuadril. colita,,,,,,1.9,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
277.0,Cuadril. corazón,,,,,,2.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
278.0,Cuadril. tapa,,,,,,3,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
280.0,Lomo,,,,,,3.8,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
281.0,Marucha,,,,,,3.6,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
282.0,Nalga,,,,,,1,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
283.0,Palomita,,,,,,4.6,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
284.0,Peceto,,,,,,1.6,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
285.0,Bife angosto,,,,,,3.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
286.0,Bola de lomo,,,,,,3.1,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
290.0,Cuadrada,,,,,,1.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
287.0,Cuadril. colita,,,,,,2.7,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
288.0,Cuadril. corazón,,,,,,2.9,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
289.0,Cuadril. tapa,,,,,,4.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
291.0,Lomo,,,,,,5.2,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
292.0,Marucha,,,,,,3.9,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
293.0,Nalga,,,,,,1.1,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
294.0,Palomita,,,,,,5.4,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
295.0,Peceto,,,,,,1.8,,,,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
522.0,"Jamon cocido ""Villafranca Novissimo"".El Bierzo. Reducido en colesterol",  ,410.3,98.0,74.3,18.0,2.5,,3.1,486.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
523.0,"Lomo ahumado de cerdo cocido ""Villafranca Novissimo"". El Bierzo. Reducido en sodio y en colesterol",  ,397.8,95.0,73.6,19.0,2,,4.3,902.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
524.0,"Mortadela"" Villafranca Novissimo"". El Bierzo - reducida en grasa y en sodio",  ,582.0,139.0,66.7,16.0,5.7,,4,655.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
525.0,"Pastron ahumado ""Villafranca Novissimo"". El Bierzo. Reducido en sodio y en colesterol",  ,330.8,79.0,75.5,16.0,0.4,,3.4,658.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
526.0,"Salame ""Villafranca Novissimo"".El Bierzo.Reducido en sodio y en colesterol",  ,561.1,134.0,67.6,22.0,4.6,,3.9,740.0,,,,,,,,,,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
557.0,Carne de vizcacha,Lagostomus maximus maximus Blainv,192.6,46.0,73,23.9,3.7,7.7,3.61,,260.0,69.0,29.0,2.57,,,,,9.9,Carnes.xls,,,,,,,,,,,,,,,,,,,,,,,,
484.0,Amaranto. semilla. cruda (Amarantus caudatus),Amarantus caudatus,1607.8,384.0,,15.3,7.6,63.6,2.29,,,,,12.17,4.8,,,,,Cereales.xls,,,,,,,11.2,,,,,,,,,,,,,,,,,
486.0,Amaranto. semilla. cruda (Amarantus hipochondriacus),Amarantus hipochondriacus,1595.8,381.0,,14.4,7.4,64.3,2.47,,,,,13.5,4.9,,,,,Cereales.xls,,,,,,,11.5,,,,,,,,,,,,,,,,,
483.0,Amaranto. semilla. cruda (Amarantus mantegazzianus),Amarantus mantegazzianus,1623.3,388.0,,15.4,8.4,62.7,2.75,,,,,8.22,4,,,,,Cereales.xls,,,,,,,10.8,,,,,,,,,,,,,,,,,
485.0,Amaranto. semillia. cruda (Amarantus cruentus),Amarantus cruentus,1608.2,384.0,,15.6,7.6,63.4,2.18,,,,,10.89,3.8,,,,,Cereales.xls,,,,,,,11.3,,,,,,,,,,,,,,,,,
1.0,Arroz. grano. blanco. pulido. crudo,,1419.0,339.0,,6.9,0.2,79.2,1.2,4.0,78.0,9.0,93.0,0.7,,0.038,0.091,4.7,,Cereales.xls,,,,,,,12.5,77.5,1.7,,,,,,,,,,,,,,,
2.0,Arroz. grano. blanco. pulido. hervido,,343.0,82.0,,1.4,0.1,19.4,0.1,5.0,80.0,3.0,26.0,0.63,,,,,,Cereales.xls,,,,,,,79.0,19.1,0.3,,,,,,,,,,,,,,,
3.0,Avena . grano. arrollada. cruda,,1603.6,383.0,,15.6,7.8,62.5,2.2,47.0,391.0,36.0,360.0,4.13,,0.594,0.158,1.4,,Cereales.xls,,,,,,,11.9,,,,,,,,,,,,,,,,,
4.0,Avena. grano. arrollada. cruda,,1436.1,343.0,,12.8,7.1,,1.9,65.0,460.0,21.0,333.0,4.2,4.4,,,,,Cereales.xls,,,,,,,10.9,56.9,10.4,,,,,,,,,,,,,,,
5.0,Avena. grano. arrollada. hervida,,360.0,86.0,,3.8,1.9,15.8,1.4,21.0,87.0,12.0,90.0,1.09,,,,,,Cereales.xls,,,,,,,77.1,13.4,2.4,,,,,,,,,,,,,,,
6.0,Cebada. grano. mondado. perlado. crudo,,1326.0,317.0,,10.2,1.5,74.9,1.4,6.0,138.0,15.0,204.0,2.77,,0.085,0.118,7.4,,Cereales.xls,,,,,,,12.0,65.6,9.3,,,,,,,,,,,,,,,
7.0,Cebada. grano. mondado. perlado. hervido,,344.0,82.0,,3.8,0.1,19.3,...,13.0,59.0,7.0,35.0,0.68,,,,,,Cereales.xls,,,,,,,77.2,16.5,2.8,,,,,,,,,,,,,,,
8.0,"Cebada. harina ""Genser"". cruda",,1374.0,328.0,,10.2,1.7,76.9,1.2,,,,,,,0.081,0.16,1.7,,Cereales.xls,,,,,,,10.0,68.0,8.0,,,,,,,,,,,,,,,
9.0,Centeno. harina. clara. cruda,,1392.0,332.0,,8.9,0.9,78.5,0.7,,,,,,,0.143,0.258,1.3,,Cereales.xls,,,,,,,11.0,72.2,6.3,,,,,,,,,,,,,,,
10.0,Centeno. pan,,863.0,206.0,,8.7,0.6,48.9,1.6,219.0,205.0,23.0,156.0,2.3,,,,,,Cereales.xls,,,,,,,40.2,41.5,7.4,,,,,,,,,,,,,,,
11.0,Centeno. pan con harina integral,,894.0,214.0,,10.4,0.9,49,1.3,466.0,259.0,31.0,278.0,2.16,,,,,,Cereales.xls,,,,,,,38.4,41.0,8.0,,,,,,,,,,,,,,,
488.0,Maiz. amarillo Leales. grano entero. crudo,Zea Mays,1448.7,346.0,,10.6,0.8,74.1,1.13,,,,281.0,9.46,3.2,,,,,Cereales.xls,,,,,,,13.4,,,,,,,,,,,,,,,,,
490.0,Maiz amarillo. pisingallo. grano entero. crudo,Zea Mays,1444.5,345.0,,10.9,0.5,74.6,1.34,,,,203.0,7.74,1.8,,,,,Cereales.xls,,,,,,,12.7,,,,,,,,,,,,,,,,,
491.0,Maiz amarillo. sémola. grano entero. crudo,Zea Mays,1277.0,305.0,,9.0,1.1,76.4,0.68,,,,38.0,1.11,1,,,,,Cereales.xls,,,,,,,12.8,,,,,,,,,,,,,,,,,
489.0,Maiz. amarillo trópico 327. grano entero. crudo  ,Zea Mays,1439.1,344.0,,9.8,1.1,73.6,1.55,,,,251.0,6.37,2,,,,,Cereales.xls,,,,,,,13.9,,,,,,,,,,,,,,,,,
487.0,Maiz. blanco 8 rayas. grano entero. crudo,Zea Mays,1423.6,340.0,,7.3,0.9,77.7,1.13,,,,261.0,3.38,1.8,,,,,Cereales.xls,,,,,,,13.0,,,,,,,,,,,,,,,,,
482.0,Maiz. blanco perla. grano entero. crudo,Zea mays,1402.6,335.0,,9.0,0.9,74.8,1.48,,,,325.0,11.5,2.5,,,,,Cereales.xls,,,,,,,13.9,,,,,,,,,,,,,,,,,
12.0,Maiz. choclo,,405.0,97.0,,3.7,1.2,20.5,0.7,40.0,113.0,6.0,103.0,0.47,,0.134,0.081,2,8.2,Cereales.xls,,,,,,,73.9,17.8,2.7,,,,,,,,,,,,,,,
13.0,Maiz. grano. entero (Zea mays spp),Zea mays,1449.0,346.0,,9.5,0.9,74.9,1.3,,,,280.0,,,,,,,Cereales.xls,,,,,,,13.4,67.6,7.3,,,,,,,,,,,,,,,
